Company_Name, Price ,Year,year1,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Interest  Discount on Advances  Bills,Income from Investments,Interest on Balance with RBI and Other Inter-Bank funds,Others,Total Interest Earned,Other Income,Total Income,Interest Expended,Payments to and Provisions for Employees,Depreciation,Operating Expenses (excludes Employee Cost & Depreciation),Total Operating Expenses,Provision Towards Income Tax,Other Provisions and Contingencies,Total Provisions and Contingencies,Total Expenditure,Net Profit  Loss for The Year,Net Profit  Loss After EI & Prior Year Items,Total Profit  Loss available for Appropriations,Transfer To  From Statutory Reserve,Transfer To  From Capital Reserve,Transfer To  From Revenue And Other Reserves,Equity Share Dividend,Tax On Dividend,Balance Carried Over To Balance Sheet,Total Appropriations,Basic EPS (Rs.),Diluted EPS (Rs.)
Balance Sheet of Jammu and Kashmir Bank,36.9,18-Mar,2018,55.7,55.7,620.18,5485.33,6105.51,6161.21,80006.5,1628.34,1891.57,89687.62,4328.36,3924.52,18880.03,56912.74,1614.59,4027.37,89687.62,904,10072,11,9,2,6006.7,10,2791.12,5,5,1193.53,5795.12,4977.74,1431.58,211.68,0.4,6621.4,495.31,7116.71,3750.61,1286.89,96.55,600.79,1984.23,157,1260.92,1179.16,6913.99,202.72,202.72,202.72,50.68,0,152.04,0,0,0,202.72,3.64,3.64
Balance Sheet of Jammu and Kashmir Bank,,17-Mar,2017,52.15,52.15,0,5624.35,5624.35,5676.49,72463.09,1276.05,2603.04,82018.67,3590.97,1794.96,21290.89,49816.11,1543.31,3982.42,82018.67,865,10022,11,9,2,6000.01,11,24253.7,5,5,1190.86,6108.99,4784.35,1782.61,117.21,1.63,6685.8,492.86,7178.66,4173.86,1122.54,85.08,502.84,1710.46,145.87,2800.3,2926.62,8810.95,-1632.29,-1632.29,-1632.29,0,7.72,-1640.01,0,0,0,-1632.29,-33.59,-33.59
Balance Sheet of Jammu and Kashmir Bank,147.5,16-Mar,2016,48.49,48.49,0,6375.48,6375.48,6423.98,69390.25,2240,2213.84,80268.07,3126.74,76.27,20353.62,50193.29,763.72,5754.44,80268.07,857,984,12,11,1,4368.61,8,2163.95,4,4,5607.64,12465.29,5027.66,1646.65,169.26,0,6843.57,504.03,7347.6,4133.48,1019.59,63.99,462.62,1546.2,255.75,976.23,1251.88,6931.57,416.03,416.03,416.03,104.01,0,207.46,84.84,17.27,0,416.03,8.58,8.58
Balance Sheet of Jammu and Kashmir Bank,36.9,15-Mar,2015,48.49,48.49,0,6061.56,6061.56,6110.05,65756.19,2339.67,1879.54,76085.45,2373.06,1360.71,25124.3,44585.82,688.91,1952.66,76085.45,817,960,13,11,1,2464.08,6,1236.32,3,3,6047.98,16822.35,5161.03,1843.36,56.74,0,7061.13,593.97,7655.1,4410.22,894.03,94.5,420.52,1409.05,301.06,1015.52,1327.23,7146.5,508.6,508.6,508.6,127.15,0,247,101.8,20.35,0,508.6,10.49,10.49
Balance Sheet of Jammu and Kashmir Bank,36.9,14-Mar,2014,48.49,48.49,0,5675.12,5675.12,5723.61,69335.86,1765,1795.25,78619.73,3045.59,1168.31,26195.07,46384.6,533.81,1292.35,78619.73,777,0,13,11,1,783.42,2,101.99,0,0,5230.82,12145.79,5021.26,1685.56,60.18,0,6767,390.26,7157.27,4082.52,743.91,77.86,353.23,1174.99,574.52,147.89,717.29,5974.8,1182.47,1182.47,1182.47,295.62,0,596.2,242.39,41.19,0,1182.47,243.92,243.92
Balance Sheet of Dhanlaxmi Bank,17.2,18-Mar,2018,253.01,253.01,0,496.45,496.45,749.46,10919.67,392.17,225.16,12286.46,602.85,268.76,4364.6,6110.49,203.76,736,12286.46,0,0,14,0,0,469.3,7,194.65,3,0,0,0,692.22,292.43,10.61,18.06,1013.32,102.47,1115.79,667.52,163.58,0,138.51,302.09,0,171.05,171.05,1140.66,-24.87,-24.87,0,0,0,0,0,0,0,0,-0.98,-0.98
Balance Sheet of Dhanlaxmi Bank,17.2,17-Mar,2017,253.01,253.01,0,496.45,496.45,749.46,10919.66,392.17,225.16,12286.46,602.85,268.76,4364.6,6110.49,203.76,736,12286.46,258,1884,14,11,3,469.31,7,194.65,3,3,344.59,772.91,692.22,292.43,10.6,18.06,1013.32,102.47,1115.78,667.52,163.58,13.46,125.05,302.09,0,171.05,171.05,1140.66,-24.87,-24.87,-861.4,0,4.08,0,0,0,-865.48,-861.4,-0.98,-0.98
Balance Sheet of Dhanlaxmi Bank,17.2,16-Mar,2016,209.85,209.85,0,444.64,444.64,654.48,11293.68,145.2,239.76,12333.12,574.98,232.6,4194.15,6446.35,214.27,670.78,12333.12,260,2021,10,9,1,315.6,5,166.48,3,3,257.7,792.47,769.49,277.02,24.07,18.47,1089.06,111.02,1200.07,757.46,194.9,20.32,133.33,348.55,0,81.69,81.69,1187.7,12.38,12.38,-818.79,3.1,14.64,0,0,0,-836.53,-818.79,0.59,0.59
Balance Sheet of Dhanlaxmi Bank,17.2,15-Mar,2015,177.44,177.44,0,330.51,330.51,507.95,11353.76,251.85,349.42,12462.98,579.48,253.65,3792.24,6952.68,178.92,706.01,12462.98,266,2185,8,6,1,458.92,6,193.19,3,3,249.45,698.48,834.28,327.6,22.12,20.27,1204.27,76.73,1281,899.6,213.15,24.9,142.85,380.9,-0.01,209.96,209.95,1490.45,-209.45,-209.45,-824.51,0,0.5,0,0,0,-825.02,-824.51,-11.8,-11.8
Balance Sheet of Dhanlaxmi Bank,17.2,14-Mar,2014,177.44,177.44,0,546.41,546.41,723.86,12381.68,941.35,305.02,14351.91,669.33,620.79,4850.1,7669.81,202.8,339.07,14351.91,266,2279,10,7,2,558.29,7,252.63,3,3,318.15,713.41,893.85,350.3,33.66,5.78,1283.59,84.95,1368.54,984.75,211.47,18.32,128.41,358.2,0.02,267.04,267.06,1610.01,-241.47,-241.47,-612.31,0,2.75,0,0,0,-615.06,-612.31,-13.6,-13.6
