Company_Name, Price ,Year,year1,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Interest  Discount on Advances  Bills,Income from Investments,Interest on Balance with RBI and Other Inter-Bank funds,Others,Total Interest Earned,Other Income,Total Income,Interest Expended,Payments to and Provisions for Employees,Depreciation,Operating Expenses (excludes Employee Cost & Depreciation),Total Operating Expenses,Provision Towards Income Tax,Other Provisions and Contingencies,Total Provisions and Contingencies,Total Expenditure,Net Profit  Loss for The Year,Net Profit  Loss After EI & Prior Year Items,Total Profit  Loss available for Appropriations,Transfer To  From Statutory Reserve,Transfer To  From Capital Reserve,Transfer To  From Revenue And Other Reserves,Equity Share Dividend,Tax On Dividend,Balance Carried Over To Balance Sheet,Total Appropriations,Basic EPS (Rs.),Diluted EPS (Rs.)
Balance Sheet Kotak,1238.25,15-Mar,2015,513.31,513.31,0,0,0,0,453622.72,148016.14,0,0,0,0,153876.08,439650.3,0,50376.62,691329.57,0,0,0,0,0,0,0,0,0,0,0,776181.32,13402.1,3681.04,218.32,397.47,17698.93,3477.16,21176.09,9572.78,2768.53,290.66,2559.3,5618.5,1800.31,836.74,2573.31,17764.59,3411.5,3411.5,11625.62,852.88,10.55,0,0.07,-0.68,10756.29,11625.62,18.57,18.55
Balance Sheet Kotak,1238.25,14-Mar,2014,600.22,600.22,0,0,0,0,151639.17,38289.08,0,0,0,0,50076.72,144953.66,0,12041.16,221626.17,0,0,0,0,0,0,0,0,0,0,0,358130.43,12470.37,3456.01,92.91,364.9,16384.18,2612.23,18996.42,9483.81,2816.97,287.38,2367.17,5471.52,1036.12,917.37,1951.31,16906.64,2089.78,2089.78,8859.75,522.45,9.17,0,91.84,18.7,8214.12,8859.75,11.42,11.4
Balance Sheet of Axis Bank,670.1,18-Mar,2018,513.31,513.31,0,62931.95,62931.95,63445.26,453622.72,148016.14,26245.45,691329.58,35481.06,7973.83,153876.08,439650.3,3971.68,50376.62,691329.58,3703,59614,17,13,4,34248.64,7,16592,4,4,49565.6,0,34137.47,9983.3,387.83,1271.71,45780.31,10967.09,56747.4,27162.58,4312.96,568.1,9109.29,13990.34,1671.19,13830.14,15318.8,56471.72,275.68,275.68,24724.01,68.92,101.66,0,1405.28,0,23043.05,24724.01,1.13,1.12
Balance Sheet of Axis Bank,565.15,17-Mar,2017,513.31,513.31,0,62931.95,62931.95,63445.26,453622.72,148016.14,26245.45,691329.58,35481.06,7973.83,153876.08,439650.3,3971.68,50376.62,691329.58,3703,59614,17,13,4,34248.64,7,16592,4,4,49565.6,735297.7,34137.47,9983.3,387.83,1271.71,45780.31,10967.09,56747.4,27162.58,4312.96,568.1,9109.29,13990.34,1671.19,15472.91,15318.8,56471.72,275.68,275.68,24724.01,68.92,101.66,0,1405.28,0,23043.05,24724.01,1.13,1.12
Balance Sheet of Axis Bank,495.4,16-Mar,2016,479.01,479.01,0,55283.53,55283.53,55762.54,414378.79,105030.87,26295.47,601467.67,30857.94,19398.24,128793.37,373069.35,3746.89,45601.87,601467.67,3304,56617,15,12,3,21280.48,5,8626.6,2,2,81055.36,669625.84,33124.96,9622.82,503.84,1290.54,44542.16,11691.31,56233.47,26449.04,3891.86,508.8,7799.24,12199.91,4988.9,12116.96,13905.24,52554.19,3679.28,3679.28,27445.74,919.82,755.57,0,1407.43,0,24448.33,27445.74,15.4,15.34
Balance Sheet of Axis Bank,670.1,15-Mar,2015,479.01,479.01,0,55283.53,55283.53,55762.54,414378.79,105030.87,26295.47,601467.67,30857.94,19398.24,128793.37,373069.35,3746.89,45601.87,601467.67,3304,56617,15,12,3,21280.48,5,8626.6,2,2,81055.36,0,33124.96,9622.82,503.84,1290.54,44542.16,11691.31,56233.47,26449.04,3891.86,508.8,7799.24,12199.91,4988.9,12116.96,13905.24,52554.19,3679.28,3679.28,27445.74,919.82,755.57,0,1197.52,209.91,24448.33,27445.74,15.4,15.34
Balance Sheet of Axis Bank,670.1,14-Mar,2014,476.57,476.57,0,52688.34,52688.34,53164.91,357967.56,99226.38,15108.77,525467.62,22361.15,10964.29,122006.2,338773.72,3523.17,27839.08,525467.62,2904,50135,15,13,3,6087.51,2,2522.14,1,1,80764.78,587961.04,30040.56,9377.59,295.25,1274.64,40988.04,9371.46,50359.5,24155.07,3376.01,443.91,6280.9,10100.82,4241.96,3709.91,7879.95,42135.84,8223.66,8223.66,25847.15,2055.92,62.04,0,1191.42,213.19,22364.65,25847.15,34.59,34.4
Balance Sheet of IndusInd Bank,1601.75,18-Mar,2018,600.22,600.22,362.2,22864.65,23226.85,23841.64,151639.17,38289.08,7856.27,221626.16,10962.41,2253.47,50076.72,144953.66,1338.75,12041.16,221626.16,1400,25284,15,15,0,1704.91,1,745.67,1,1,37415.48,662099.16,13699.91,3074.38,321.48,184.99,17280.75,4750.1,22030.85,9783.3,1780.69,211.64,3599.11,5591.44,1900.02,1175.43,3050.12,18424.86,3605.99,3605.99,10724.37,901.5,7.62,0,432.24,0,9311.49,10724.37,60.19,59.57
Balance Sheet of IndusInd Bank,1723.25,17-Mar,2017,600.22,600.22,362.2,22864.65,23226.85,23841.64,151639.17,38289.08,7856.27,221626.16,10962.41,2253.47,50076.72,144953.66,1338.75,12041.16,221626.16,1400,25284,15,15,0,1704.91,1,745.67,1,1,37415.48,662099.16,13699.91,3074.38,321.48,184.99,17280.75,4750.1,22030.85,9783.3,184.99,211.64,5194.81,5591.44,1900.02,1175.43,3050.12,18424.86,3605.99,3605.99,10724.37,901.5,7.62,0,432.24,0,9311.49,10724.37,60.19,59.57
Balance Sheet of IndusInd Bank,799.45,16-Mar,2016,598.15,598.15,374.59,19658.18,20032.77,20646.12,126572.22,22453.69,8976.38,178648.41,7748.75,10879.51,36702.14,113080.51,1335.23,8902.28,178648.41,1200,25314,15,15,1,1054.87,1,438.9,0,0,19006.91,406387.19,11479.11,2466.89,330.83,128.84,14405.67,4171.49,18577.16,8343.07,1521.02,190.7,3071.36,4783.08,1681.33,1091.34,2583.13,15709.27,2867.89,2867.89,7881.35,716.97,45.54,0,0.46,0,7118.38,7881.35,48.06,47.56
